index,source,hosted link,screenshot link,archived
14,https://twitter.com/JoshHanson1530/status/1347914920059428865,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750456/capitol-riots-paper/14.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750455/capitol-riots-paper/14_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/FDM5hi37LBEFL9PmBSLQ6PSU/
15,https://twitter.com/Jonatha19208586/status/1347535107037548544,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750456/capitol-riots-paper/15.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750456/capitol-riots-paper/15_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/c7g7S3ZBNaCKTdLOu7nIO8wa/
16,https://twitter.com/HPBateman/status/1347451995368673282,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/16.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750456/capitol-riots-paper/16_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/SXGJVPh98J3rbtc8Y5PeAJHj/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/16.2.jpg,,
17,https://twitter.com/DrukmanJake/status/1347236529568145411,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/17.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750450/capitol-riots-paper/17_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/txkKMIkQyvwkq6iken7aQWC1/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/17.2.jpg,,
18,https://twitter.com/burgermouth/status/1347235944164941827,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/18.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/18_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/XwLxThCj1GCsUGM4fu0q5ARt/
19,https://twitter.com/dtriesch62/status/1346937034196332545,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/19.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/19_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/XDYavTpww21oE7mW3nS0aBWu/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/19.2.jpg,,
20,https://twitter.com/rwacollins/status/1346928657156120577,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/20.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/20_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/Eu5L3UTmk5T2SxVf5owSQo6w/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/20.2.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750451/capitol-riots-paper/20.3.jpg,,
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/20.4.jpg,,
21,https://twitter.com/mousers/status/1347067840319246341,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/21.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/21_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/sGntmsYtaioh84wy4WmUZfLu/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/21.2.jpg,,
22,https://twitter.com/reuvenyaaqov/status/1347289545390370823,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/22.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750452/capitol-riots-paper/22_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/XsrYqomgZ4CDnEeLgWyYcX9B/
23,https://twitter.com/Haffoc/status/1347919947318571013,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/23.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/23_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/UdXX9DhH2nfCfvi2XEBADhrS/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/23.2.jpg,,
24,https://twitter.com/daibastard3/status/1347924302444695556,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/24.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/24_screenshot.png,https://websatchel.com/j/pages/O83q89UjiWDjZvQOcOhMyTyk/vmC84PZN5Y5xjlT2y4c7lGJu/
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1617750453/capitol-riots-paper/24.2.jpg,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,brought to you by memetic influence,,,
,datasets@memeticinfluence.com,,,
